Batch_0
2,39,0,0,50
2,39,20,0,58
2,39,36,0,75
4,39,28,0,65
6,39,0,0,52
6,39,0,0,55
6,39,36,0,71
8,39,28,0,61
8,39,36,0,68
10,39,16,0,46
12,39,4,0,53
14,39,0,0,62
14,39,4,0,50
14,39,8,0,48
14,39,28,0,59
16,39,4,0,52
16,39,12,0,45
20,39,0,0,61
20,39,16,0,51
20,39,20,0,56
22,39,28,0,50
24,39,4,0,62
28,39,20,0,55
28,39,28,0,88
34,39,20,0,54
34,39,28,0,51
34,39,32,0,43
36,39,8,0,68
36,39,0,0,77
24,39,2,0,62
Batch_1
2,39,12,0,50
2,39,12,0,61
4,39,24,0,60
4,39,32,0,68
6,39,4,0,73
6,39,32,0,67
8,39,4,0,74
8,39,4,0,49
8,39,24,0,56
8,39,28,0,65
12,39,12,0,44
16,39,28,0,54
20,39,24,0,57
20,39,32,0,53
22,39,32,0,50
24,39,16,0,50
26,39,36,0,50
28,39,16,0,56
30,39,28,0,47
34,39,4,0,70
34,39,16,0,61
34,39,28,0,46
36,39,4,0,72
36,39,12,0,65
36,39,32,0,45
38,39,4,0,76
38,39,0,0,78
4,39,0,0,53
8,39,0,0,51
24,39,2,0,63
Batch_2
4,39,24,0,61
6,39,16,0,55
10,39,4,0,51
10,39,4,0,48
12,39,20,0,52
14,39,12,0,43
14,39,20,0,46
14,39,24,0,57
16,39,12,0,46
16,39,28,0,66
18,39,16,0,52
18,39,20,0,48
20,39,4,0,57
22,39,8,0,54
22,39,28,0,61
24,39,4,0,64
24,39,36,0,52
26,39,4,0,62
26,39,20,0,49
26,39,32,0,46
30,39,24,0,50
32,39,12,0,61
34,39,20,0,55
36,39,36,0,41
38,39,0,0,78
12,39,2,0,52
36,39,2,0,75
36,39,4,0,72
8,39,4,0,49
16,39,4,0,55
Batch_3
4,39,12,0,49
4,39,16,0,54
6,39,8,0,48
6,39,12,0,53
6,39,28,0,62
8,39,12,0,47
10,39,12,0,46
10,39,32,0,62
10,39,36,0,69
12,39,16,0,47
12,39,20,0,53
14,39,4,0,51
14,39,8,0,46
18,39,12,0,50
18,39,12,0,56
24,39,12,0,52
24,39,24,0,49
26,39,4,0,63
26,39,12,0,55
26,39,24,0,50
26,39,32,0,47
28,39,0,0,68
30,39,16,0,57
34,39,8,0,67
34,39,20,0,54
38,39,12,0,66
38,39,0,0,78
12,39,0,0,55
12,39,4,0,50
4,39,8,0,50
Batch_4
4,39,36,0,72
4,39,36,0,73
6,39,0,0,52
8,39,4,0,59
8,39,16,0,48
10,39,32,0,62
12,39,0,0,54
