2,39,0,0,53
2,39,20,0,59
2,39,36,0,76
4,39,28,0,65
6,39,0,0,52
6,39,0,0,60
6,39,36,0,71
8,39,28,0,62
8,39,36,0,69
10,39,16,0,51
12,39,4,0,53
14,39,0,0,63
14,39,4,0,53
14,39,8,0,46
14,39,28,0,59
16,39,4,0,52
16,39,12,0,45
20,39,0,0,61
20,39,16,0,53
20,39,20,0,56
22,39,28,0,59
24,39,4,0,61
28,39,20,0,56
28,39,28,0,59
28,39,32,0,44
34,39,20,0,55
34,39,28,0,61
34,39,32,0,45
36,39,8,0,68
36,39,32,0,51
2,39,0,0,50
2,39,20,0,60
2,39,24,0,62
6,39,0,0,62
6,39,0,0,64
6,39,12,0,49
6,39,16,0,52
8,39,28,0,60
10,39,32,0,62
12,39,32,0,60
16,39,0,0,59
18,39,4,0,54
18,39,4,0,62
18,39,12,0,50
20,39,16,0,49
20,39,24,0,50
22,39,32,0,50
24,39,4,0,62
