y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13
9,0,9,0,9,0,9,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
9,0,9,0,9,0,8,0,7,0,7,1,6,1,5,1,4,1,3,1,2,1,1,1,1,0,0,0
9,0,9,0,9,0,8,0,7,0,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
9,0,9,0,9,0,8,0,8,1,7,1,6,1,6,0,5,0,4,0,3,0,2,0,1,0,0,0
9,0,9,0,9,0,8,0,7,0,6,0,6,1,5,1,4,1,3,1,3,0,2,0,1,0,0,0
9,0,9,0,9,0,8,0,7,0,6,0,5,0,5,1,4,1,3,1,2,1,2,0,1,0,0,0
9,0,8,0,7,0,6,0,6,1,5,1,5,2,4,2,4,1,3,1,2,1,1,1,1,0,0,0
9,0,8,0,8,1,8,2,7,2,6,2,5,2,5,1,4,1,3,1,3,0,2,0,1,0,0,0
9,0,9,0,9,0,8,0,8,1,7,1,6,1,5,1,5,0,4,0,3,0,2,0,1,0,0,0
9,0,9,0,9,0,8,0,7,0,6,0,6,1,5,1,5,0,4,0,3,0,2,0,1,0,0,0
9,0,8,0,7,0,6,0,5,0,5,1,5,2,4,2,4,1,4,0,3,0,2,0,1,0,0,0
9,0,8,0,7,0,7,1,7,2,6,2,5,2,4,2,4,1,3,1,2,1,2,0,1,0,0,0
9,0,8,0,7,0,6,0,6,1,5,1,5,2,4,2,4,1,3,1,3,0,2,0,1,0,0,0
9,0,9,0,9,0,8,0,7,0,7,1,6,1,5,1,4,1,4,0,3,0,2,0,1,0,0,0
9,0,8,0,7,0,7,1,6,1,6,2,5,2,4,2,4,1,4,0,3,0,2,0,1,0,0,0
9,0,9,0,9,0,8,0,7,0,6,0,5,0,5,1,4,1,4,0,3,0,2,0,1,0,0,0
9,0,9,0,9,0,8,0,7,0,6,0,6,1,5,1,4,1,4,0,3,0,2,0,1,0,0,0
