Batch_0
0,9,9,0,21
6,9,9,0,14
7,9,9,0,12
1,9,9,0,27
Batch_1
4,9,9,0,33
1,9,9,0,38
6,9,9,0,16
7,9,9,0,12
Batch_2
7,9,9,0,12
4,9,9,0,17
0,9,9,0,30
1,9,9,0,35
Batch_3
1,9,9,0,24
7,9,9,0,12
0,9,9,0,37
4,9,9,0,22
6,9,9,0,38
Batch_4
0,9,9,0,23
1,9,9,0,20
4,9,9,0,34
7,9,9,0,12
Batch_5
4,9,9,0,16
1,9,9,0,31
0,9,9,0,33
6,9,9,0,27
Batch_6
6,9,9,0,22
7,9,9,0,16
0,9,9,0,28
4,9,9,0,36
Batch_7
1,9,9,0,39
7,9,9,0,12
6,9,9,0,25
0,9,9,0,29
4,9,9,0,23
Batch_8
4,9,9,0,36
1,9,9,0,18
7,9,9,0,12
Batch_9
0,9,9,0,19
6,9,9,0,13
1,9,9,0,22
4,9,9,0,30
