y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12
9,4,9,4,8,4,7,4,6,4,5,4,5,3,5,2,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,8,3,7,3,7,2,6,2,5,2,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,7,3,7,2,6,2,5,2,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,2,3,1,3,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,5,3,4,3,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,7,3,6,3,6,2,5,2,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,8,3,7,3,6,3,5,3,4,3,3,3,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,4,4,4,3,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,5,3,4,3,3,3,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,4,4,4,3,3,3,2,3,2,2,1,2,0,2
9,4,9,4,8,4,8,3,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,8,3,7,3,6,3,5,3,4,3,3,3,2,3,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,4,4,3,4,3,3,2,3,2,2,1,2,0,2
9,4,9,4,8,4,7,4,7,3,6,3,5,3,4,3,3,3,2,3,1,3,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,4,1,3,1,2,0,2
9,4,9,4,8,4,7,4,7,3,6,3,5,3,4,3,3,3,2,3,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,4,4,3,4,3,3,2,3,1,3,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,4,4,3,4,3,3,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,5,3,4,3,3,3,2,3,1,3,1,2,0,2
9,4,9,4,8,4,7,4,6,4,6,3,5,3,5,2,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,6,3,6,2,5,2,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,8,3,7,3,6,3,5,3,5,2,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,5,3,4,3,3,3,2,3,2,2,1,2,0,2
9,4,9,4,8,4,8,3,7,3,6,3,5,3,4,3,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,6,3,5,3,4,3,3,3,2,3,2,2,1,2,0,2
9,4,9,4,8,4,8,3,7,3,6,3,6,2,5,2,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,4,4,4,3,3,3,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,4,4,4,3,3,3,2,3,1,3,1,2,0,2
9,4,9,4,8,4,7,4,6,4,6,3,5,3,4,3,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,7,3,6,3,5,3,4,3,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,7,3,6,3,5,3,5,2,4,2,3,2,2,2,1,2,0,2
9,4,9,4,8,4,7,4,6,4,6,3,5,3,4,3,3,3,3,2,2,2,1,2,0,2
9,4,9,4,8,4,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,3,1,2,0,2
9,4,9,4,8,4,7,4,6,4,6,3,5,3,4,3,3,3,2,3,1,3,1,2,0,2
9,4,9,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,2,3,2,2,1,2,0,2
9,4,9,4,8,4,7,4,7,3,6,3,5,3,4,3,3,3,3,2,2,2,1,2,0,2
